day,dt,temp,site_z,site_h
0.10000000000000142,2.26,-6.0,,
1.0,21.74,-6.0,0.0,
2.0,24.0,-1.8,,
2.3000000000000007,6.78,-4.3,,
3.0,17.22,-4.3,,
4.0,24.0,-4.0,,
5.0,24.0,-3.3,,
6.0,24.0,0.3,0.37,
7.0,24.0,-3.3,0.27,
8.0,24.0,-0.3,0.0,
9.0,24.0,-1.5,,
10.0,24.0,-4.0,,
11.0,24.0,-9.5,,
12.0,24.0,-9.8,,
13.0,24.0,-10.0,0.55,
14.0,24.0,-4.3,0.0,
15.0,24.0,-7.5,0.58,
16.0,24.0,-15.5,,
17.0,24.0,-9.8,,
18.0,24.0,-10.3,,
19.0,24.0,-6.0,,
20.0,24.0,-7.8,0.79,
21.0,24.0,-2.0,0.63,
22.0,24.0,-9.5,0.85,
23.0,24.0,-12.0,,
23.2,5.91,-26.0,,
24.0,18.09,-26.0,,
25.0,24.0,-25.3,,
26.0,24.0,-21.3,,
27.0,24.0,-11.8,0.967,
28.0,24.0,-7.8,0.867,
29.0,24.0,-17.8,0.846,
30.0,24.0,-17.0,,
31.0,24.0,-16.5,,
32.0,24.0,-17.5,,
33.0,24.0,-10.5,,
34.0,24.0,-15.3,,
35.0,24.0,-18.0,,
36.0,24.0,-21.5,,
37.0,24.0,-21.3,,
38.0,24.0,-27.0,,
39.0,24.0,-15.8,,
40.0,24.0,-5.8,,
41.0,24.0,-2.8,1.24,
42.0,24.0,0.5,1.191,
43.0,24.0,0.8,1.331,
44.0,24.0,-7.3,,
45.0,24.0,-10.3,,
46.0,24.0,-10.3,,
47.0,24.0,0.3,,
48.0,24.0,4.0,,
49.0,24.0,-8.5,,
50.0,24.0,-12.3,,
51.0,24.0,-9.5,,
52.0,24.0,-17.0,,
53.0,24.0,-17.0,,
54.0,24.0,-18.5,,
55.0,24.0,-20.3,1.247,
56.0,24.0,-9.8,1.217,
57.0,24.0,-5.5,1.367,
58.0,24.0,1.3,,
59.0,24.0,1.0,,
60.0,24.0,-7.0,,
61.0,24.0,-12.8,,
62.0,24.0,-10.5,,
63.0,24.0,-15.3,,
64.0,24.0,-11.8,,
65.0,24.0,-5.0,,
66.0,24.0,-10.3,,
67.0,24.0,-1.3,,
68.0,24.0,-3.0,,
69.0,24.0,-13.0,,
70.0,24.0,-14.3,,
71.0,24.0,-10.0,1.315,
72.0,24.0,-5.8,1.274,
73.0,24.0,-3.5,1.424,
74.0,24.0,-3.5,,
75.0,24.0,-7.8,,
76.0,24.0,-10.8,,
77.0,24.0,-19.5,,
78.0,24.0,-19.0,,
79.0,24.0,-14.8,,
80.0,24.0,-9.5,,
81.0,24.0,-1.8,,
82.0,24.0,-3.0,,
83.0,24.0,-2.8,,
84.0,24.0,1.0,1.313,
85.0,24.0,-2.8,1.323,
86.0,24.0,-3.3,1.312,
87.0,24.0,4.8,1.323,
88.0,24.0,-10.8,1.432,
89.0,24.0,-16.3,,
90.0,24.0,-12.0,,
91.0,24.0,-12.5,,
92.0,24.0,-9.8,,
93.0,24.0,-7.8,1.331,
94.0,24.0,-6.0,1.321,
95.0,24.0,-3.0,1.431,
96.0,24.0,-2.3,,
97.0,24.0,-2.0,,
98.0,24.0,-4.5,,
99.0,24.0,-1.3,1.271,
100.0,24.0,0.3,1.311,
101.0,24.0,-2.8,1.421,
102.0,24.0,-0.8,,
103.0,24.0,-1.5,,
104.0,24.0,-1.8,,
105.0,24.0,2.8,,
106.0,24.0,-0.3,,
107.0,24.0,1.5,,
108.0,24.0,-4.0,,
